English,Russian
ability,способность
able,способный
about,о
above,выше
accept,принимать
according,согласно
account,счет
across,через
act,действовать
action,действие
activity,активность
actually,на самом деле
add,добавлять
address,адрес
administration,администрация
admit,признавать
adult,взрослый
affect,оказывать воздействие
after,после
again,снова
against,против
age,возраст
agency,агентство
agent,агент
ago,назад
agree,соглашаться
agreement,соглашение
ahead,предстоящий
air,воздух
all,все
allow,позволять
almost,почти
alone,один
along,вдоль
already,уже
also,также
although,хотя
always,всегда
American,Американский
among,среди
amount,количество
analysis,анализ
and,и
animal,животное
another,другой
answer,отвечать
any,любой
anyone,любой
anything,что-либо
appear,появляться
apply,применять
approach,подход
area,область
argue,спорить
arm,рука
around,вокруг
arrive,приезжать
art,искусство
article,статья
artist,художник
as,как
ask,просить
assume,предполагать
at,в
attack,атака
attention,внимание
attorney,адвокат
audience,аудитория
author,автор
authority,власть
available,доступный
avoid,избегать
away,прочь
baby,малыш
back,назад
bad,плохой
bag,сумка
ball,мяч
bank,банк
bar,бар
base,база
be,быть
beat,бить
beautiful,красивый
because,потому что
become,становиться
bed,кровать
before,до
begin,начинать
behavior,поведение
behind,позади
believe,полагать
benefit,выгода
best,лучший
better,лучше
between,между
beyond,вне
big,большой
bill,счет
billion,миллиард
bit,кусочек
black,черный
blood,кровь
blue,синий
board,доска
body,тело
book,книга
born,рожденный
both,оба
box,коробка
boy,мальчик
break,перерыв
bring,приносить
brother,брат
budget,бюджет
build,строить
building,здание
business,бизнес
but,но
buy,купить
by,к
call,вызов
camera,камера
campaign,кампания
can,может
cancer,рак
candidate,кандидат
capital,капитал
car,машина
card,карта
care,Забота
career,карьера
carry,нести
case,случай
catch,ловить
cause,причина
cell,клетка
center,центр
central,центральный
century,век
certain,определенный
certainly,конечно
chair,стул
challenge,испытание
chance,шанс
change,изменять
character,характер
charge,заряжать
check,проверять
child,ребенок
choice,выбор
choose,выбирать
church,церковь
citizen,гражданин
city,город
civil,гражданский
claim,требовать
class,сорт
clear,прозрачный
clearly,четко
close,закрывать
coach,тренер
cold,холодный
collection,коллекция
college,колледж
color,цвет
come,приходить
commercial,коммерческий
common,общий
community,сообщество
company,компания
compare,сравнивать
